Timestamp,Accel,Gyr,Label,Sep
15:17:15.306524,"['63', ' -184', ' 1930', ' 941', ' -626', ' 92', ' -452', ' -536', ' 1735']","[' 992', ' -607', ' 342', ' 1754', ' 537', ' -924', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.391895,"['55', ' -163', ' 1996', ' 941', ' -626', ' 92', ' -484', ' -583', ' 1765']","[' 992', ' -607', ' 342', ' 1727', ' 672', ' -933', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.392886,"['20', ' -257', ' 2109', ' 941', ' -626', ' 92', ' -607', ' -812', ' 1915']","[' 992', ' -607', ' 342', ' 1808', ' 559', ' -997', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.394881,"['-6', ' -348', ' 2108', ' 941', ' -626', ' 92', ' -701', ' -919', ' 2012']","[' 992', ' -607', ' 342', ' 1680', ' 629', ' -996', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.395878,"['-20', ' -402', ' 2153', ' 941', ' -626', ' 92', ' -644', ' -1026', ' 2100']","[' 992', ' -607', ' 342', ' 1669', ' 703', ' -978', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.396414,"['-2', ' -413', ' 2196', ' 941', ' -626', ' 92', ' -668', ' -1098', ' 2102']","[' 992', ' -607', ' 342', ' 1648', ' 751', ' -1043', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.398441,"['-3', ' -455', ' 2231', ' 941', ' -626', ' 92', ' -624', ' -1079', ' 2159']","[' 992', ' -607', ' 342', ' 1556', ' 860', ' -1058', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.399442,"['11', ' -486', ' 2263', ' 941', ' -626', ' 92', ' -677', ' -1052', ' 2174']","[' 992', ' -607', ' 342', ' 1432', ' 703', ' -1070', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.400436,"['7', ' -484', ' 2283', ' 941', ' -626', ' 92', ' -745', ' -1014', ' 2163']","[' 992', ' -607', ' 342', ' 1580', ' 768', ' -1076', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.401436,"['38', ' -464', ' 2302', ' 941', ' -626', ' 92', ' -606', ' -1004', ' 2139']","[' 992', ' -607', ' 342', ' 1581', ' 964', ' -1032', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.402430,"['59', ' -375', ' 2313', ' 941', ' -626', ' 92', ' -597', ' -916', ' 2157']","[' 992', ' -607', ' 342', ' 1577', ' 1019', ' -1068', ' -657', ' -375', ' -974']",pinch2finger,False
15:17:15.404427,"['140', ' -470', ' 2266', ' 941', ' -626', ' 92', ' -631', ' -929', ' 2087']","[' 971', ' -791', ' 330', ' 1494', ' 1023', ' -1183', ' -1006', ' -374', ' -1186']",pinch2finger,False
15:17:15.405391,"['241', ' -376', ' 2285', ' 864', ' -775', ' 51', ' -585', ' -859', ' 2114']","[' 971', ' -791', ' 330', ' 1547', ' 1104', ' -1199', ' -1006', ' -374', ' -1186']",pinch2finger,False
15:17:15.406388,"['229', ' -355', ' 2276', ' 864', ' -775', ' 51', ' -497', ' -847', ' 2072']","[' 971', ' -791', ' 330', ' 1570', ' 1237', ' -1246', ' -1006', ' -374', ' -1186']",pinch2finger,False
15:17:15.407386,"['223', ' -341', ' 2253', ' 864', ' -775', ' 51', ' -601', ' -784', ' 2102']","[' 971', ' -791', ' 330', ' 1640', ' 1178', ' -1303', ' -1006', ' -374', ' -1186']",pinch2finger,False
